,,,,
,Fecha y Hora de la Transacción,ID de la Transacción,ID_Platform,Monto Facturado
,2024-06-01 10:00:00,TXN001,PLA01,39940
,2024-07-09 12:00:00,TXN002,PLAT2,76145
,2024-06-13 10:00:00,TXN003,PLAT2,179217
,2024-07-26 13:00:00,TXN004,PLAT2,52267
,2024-07-28 06:00:00,TXN005,PLAT2,157001
,2024-07-16 21:00:00,TXN006,PLA01,33428
,2024-07-26 22:00:00,TXN007,PLAT2,75801
,2024-06-17 16:00:00,TXN008,PLA01,17870
,2024-07-10 23:00:00,TXN009,PLA01,22294
,2024-06-19 23:00:00,TXN010,PLAT2,193307
,2024-06-01 06:00:00,TXN011,PLAT2,159093
,2024-07-12 19:00:00,TXN012,PLA01,175018
,2024-07-04 12:00:00,TXN013,PLAT2,110754
,2024-07-12 04:00:00,TXN014,PLA01,163283
,2024-06-21 12:00:00,TXN015,PLAT2,22161
,2024-07-08 12:00:00,TXN016,PLAT2,196275
,2024-06-27 03:00:00,TXN017,PLA01,20824
,2024-07-09 05:00:00,TXN018,PLA01,191634
,2024-06-16 20:00:00,TXN019,PLAT2,62979
,2024-06-08 22:00:00,TXN020,PLAT2,37472
,2024-06-16 06:00:00,TXN021,PLA01,128381
,2024-07-30 03:00:00,TXN022,PLAT2,26817
,2024-07-27 01:00:00,TXN023,PLA01,147864
,2024-06-26 01:00:00,TXN024,PLAT2,153404
,2024-07-07 10:00:00,TXN025,PLA01,14710
,2024-06-08 19:00:00,TXN026,PLAT2,49512
,2024-06-28 06:00:00,TXN027,PLAT2,40302
,2024-07-03 01:00:00,TXN028,PLAT2,27833
,2024-07-29 02:00:00,TXN029,PLA01,30813
,2024-07-26 20:00:00,TXN030,PLAT2,134884
,2024-07-03 10:00:00,TXN031,PLA01,29482
,2024-06-15 17:00:00,TXN032,PLA01,158030
,2024-06-24 08:00:00,TXN033,PLAT2,196509
,2024-06-22 17:00:00,TXN034,PLAT2,69026
,2024-06-23 12:00:00,TXN035,PLA01,166287
,2024-06-28 11:00:00,TXN036,PLA01,179265
,2024-07-23 18:00:00,TXN037,PLA01,98069
,2024-07-28 00:00:00,TXN038,PLA01,153650
,2024-06-05 12:00:00,TXN039,PLAT2,87402
,2024-06-28 04:00:00,TXN040,PLA01,97457
,2024-06-07 20:00:00,TXN041,PLAT2,145586
,2024-07-15 19:00:00,TXN042,PLA01,163925
,2024-07-26 02:00:00,TXN043,PLA01,186218
,2024-07-12 01:00:00,TXN044,PLAT2,160000
,2024-07-21 21:00:00,TXN045,PLAT2,94554
,2024-07-26 11:00:00,TXN046,PLAT2,153659
,2024-06-05 17:00:00,TXN047,PLAT2,165021
,2024-06-10 10:00:00,TXN048,PLAT2,115066
,2024-06-03 20:00:00,TXN049,PLAT2,161529
,2024-07-29 03:00:00,TXN050,PLA01,167924
,2024-07-24 19:00:00,TXN051,PLAT2,147991
,2024-07-26 11:00:00,TXN052,PLA01,124048
,2024-07-13 23:00:00,TXN053,PLA01,138162
,2024-06-28 00:00:00,TXN054,PLA01,161137
,2024-06-17 03:00:00,TXN055,PLAT2,35669
,2024-07-06 07:00:00,TXN056,PLA01,68367
,2024-07-25 20:00:00,TXN057,PLA01,58242
,2024-06-09 20:00:00,TXN058,PLA01,114319
,2024-07-11 23:00:00,TXN059,PLAT2,37708
,2024-07-20 16:00:00,TXN060,PLA01,54969
,2024-07-08 23:00:00,TXN061,PLAT2,51911
,2024-07-17 05:00:00,TXN062,PLA01,45733
,2024-06-10 01:00:00,TXN063,PLA01,100426
,2024-06-20 12:00:00,TXN064,PLA01,32072
,2024-06-14 03:00:00,TXN065,PLA01,123720
,2024-07-29 14:00:00,TXN066,PLAT2,17171
,2024-07-23 09:00:00,TXN067,PLAT2,57259
,2024-06-20 22:00:00,TXN068,PLAT2,197548
,2024-06-20 18:00:00,TXN069,PLAT2,93635
,2024-07-15 21:00:00,TXN070,PLAT2,58585
,2024-06-06 18:00:00,TXN071,PLAT2,87244
,2024-07-18 20:00:00,TXN072,PLA01,55572
,2024-06-21 06:00:00,TXN073,PLA01,51213
,2024-06-29 18:00:00,TXN074,PLA01,129980
,2024-07-03 20:00:00,TXN075,PLAT2,42157
,2024-06-15 11:00:00,TXN076,PLAT2,127084
,2024-06-04 07:00:00,TXN077,PLA01,191436
,2024-06-21 21:00:00,TXN078,PLA01,78561
,2024-07-23 11:00:00,TXN079,PLA01,163844
,2024-06-29 15:00:00,TXN080,PLA01,80735
,2024-06-18 00:00:00,TXN081,PLAT2,158138
,2024-06-06 15:00:00,TXN082,PLAT2,102093
,2024-06-22 03:00:00,TXN083,PLAT2,104241
,2024-07-04 02:00:00,TXN084,PLAT2,41300
,2024-06-19 11:00:00,TXN085,PLAT2,90456
,2024-07-13 05:00:00,TXN086,PLA01,165402
,2024-07-04 09:00:00,TXN087,PLA01,107189
,2024-06-14 11:00:00,TXN088,PLA01,23411
,2024-06-27 05:00:00,TXN089,PLAT2,11359
,2024-06-08 10:00:00,TXN090,PLA01,79808
,2024-07-05 21:00:00,TXN091,PLA01,43148
,2024-06-03 05:00:00,TXN092,PLAT2,102468
,2024-06-21 17:00:00,TXN093,PLAT2,116488
,2024-07-26 00:00:00,TXN094,PLAT2,61920
,2024-07-23 20:00:00,TXN095,PLA01,142010
,2024-07-08 19:00:00,TXN096,PLAT2,39792
,2024-07-09 05:00:00,TXN097,PLAT2,88189
,2024-07-06 00:00:00,TXN098,PLA01,179739
,2024-07-27 10:00:00,TXN099,PLAT2,106611
,2024-07-11 07:00:00,TXN100,PLAT2,142787
